name,position,games,fantasy_points,rank
Kyler Murray,QB,17,306.0,8
Jacoby Brissett,QB,17,2.0,53
James Conner,RB,17,250.0,18
Trey Benson,RB,17,124.0,43
Emari Demercado,RB,17,27.0,80
Michael Penix Jr.,QB,17,250.0,26
Kirk Cousins,QB,17,2.0,48
Bijan Robinson,RB,17,336.0,1
Tyler Allgeier,RB,17,98.0,48
Jashaun Corbin,RB,17,10.0,101
Lamar Jackson,QB,17,362.0,4
Cooper Rush,QB,17,2.0,52
Derrick Henry,RB,17,281.0,11
Justice Hill,RB,17,108.0,46
Josh Allen,QB,17,365.0,2
Mitchell Trubisky,QB,17,2.0,62
James Cook,RB,17,268.0,13
Ray Davis,RB,17,81.0,56
Ty Johnson,RB,17,55.0,67
Bryce Young,QB,17,265.0,21
Andy Dalton,QB,17,2.0,51
Chuba Hubbard,RB,17,257.0,17
Rico Dowdle,RB,17,84.0,55
Trevor Etienne,RB,17,22.0,84
Raheem Blackshear,RB,17,2.0,117
Caleb Williams,QB,17,280.0,15
Case Keenum,QB,17,2.0,59
D'Andre Swift,RB,17,227.0,19
Roschon Johnson,RB,17,88.0,52
Kyle Monangai,RB,17,41.0,72
Joe Burrow,QB,17,329.0,5
Jake Browning,QB,17,3.0,38
Chase Brown,RB,17,281.0,10
Shedeur Sanders 4 139 86 926 4 4 11,QB,16,55.0,37
Quinshon Judkins,RB,17,198.0,30
Dak Prescott,QB,17,285.0,12
Joe Milton III,QB,17,3.0,43
Javonte Williams,RB,17,163.0,35
Jaydon Blue,RB,17,102.0,47
Bo Nix,QB,17,301.0,10
Jarrett Stidham,QB,17,2.0,46
RJ Harvey,RB,17,202.0,28
J.K. Dobbins,RB,17,172.0,34
Jared Goff,QB,17,260.0,23
Hendon Hooker,QB,17,2.0,55
Jahmyr Gibbs,RB,17,317.0,4
David Montgomery,RB,17,213.0,22
Craig Reynolds,RB,17,8.0,106
Jordan Love,QB,17,264.0,22
Malik Willis,QB,17,2.0,49
Josh Jacobs,RB,17,282.0,9
MarShawn Lloyd,RB,17,76.0,57
C.J. Stroud,QB,17,272.0,19
Davis Mills,QB,17,2.0,56
Nick Chubb,RB,17,112.0,45
Woody Marks,RB,17,72.0,58
Jonathan Taylor,RB,17,291.0,7
DJ Giddens,RB,17,20.0,88
Trevor Lawrence,QB,17,279.0,16
Nick Mullens,QB,17,2.0,45
Travis Etienne,RB,17,153.0,38
Tank Bigsby,RB,17,143.0,39
Bhayshul Tuten,RB,17,55.0,66
Patrick Mahomes,QB,17,325.0,6
Gardner Minshew,QB,17,3.0,40
Isiah Pacheco,RB,17,211.0,24
Kareem Hunt,RB,17,71.0,60
Justin Herbert,QB,17,283.0,13
Taylor Heinicke,QB,17,2.0,47
Omarion Hampton,RB,17,259.0,16
Najee Harris,RB,17,95.0,50
Kimani Vidal,RB,17,7.0,110
Matthew Stafford,QB,17,274.0,17
Jimmy Garoppolo,QB,17,3.0,39
Kyren Williams,RB,17,279.0,12
Blake Corum,RB,17,52.0,68
Jarquez Hunter,RB,17,27.0,81
Geno Smith,QB,17,259.0,24
Aidan O'Connell,QB,17,2.0,54
Ashton Jeanty,RB,17,298.0,6
Raheem Mostert,RB,17,46.0,70
Sincere McCormick,RB,17,22.0,85
Tua Tagovailoa,QB,17,274.0,18
Zach Wilson,QB,17,2.0,50
De'Von Achane,RB,17,306.0,5
Jaylen Wright,RB,17,96.0,49
Ollie Gordon II,RB,17,33.0,73
J.J. McCarthy,QB,17,281.0,14
Sam Howell,QB,17,3.0,42
Aaron Jones,RB,17,213.0,23
Jordan Mason,RB,17,128.0,42
Drake Maye,QB,17,271.0,20
Joshua Dobbs,QB,17,2.0,61
TreVeyon Henderson,RB,17,222.0,21
Rhamondre Stevenson,RB,17,174.0,33
Antonio Gibson,RB,17,10.0,99
Alvin Kamara,RB,17,265.0,15
Kendre Miller,RB,17,62.0,62
Clyde Edwards-Helaire,RB,17,44.0,71
Tyrone Tracy Jr.,RB,17,206.0,26
Cam Skattebo,RB,17,140.0,40
Devin Singletary,RB,17,17.0,92
Eric Gray,RB,17,1.0,123
Justin Fields,QB,17,296.0,11
Tyrod Taylor,QB,17,2.0,60
Breece Hall,RB,17,223.0,20
Braelon Allen,RB,17,84.0,54
Isaiah Davis,RB,17,28.0,75
Jalen Hurts,QB,17,364.0,3
Tanner McKee,QB,17,2.0,63
Saquon Barkley,RB,17,325.0,2
Will Shipley,RB,17,57.0,64
Aaron Rodgers,QB,17,231.0,28
Mason Rudolph,QB,17,2.0,58
Jaylen Warren,RB,17,204.0,27
Kaleb Johnson,RB,17,189.0,32
Kenneth Gainwell,RB,17,56.0,65
Sam Darnold,QB,17,242.0,27
Drew Lock,QB,17,2.0,57
Ken Walker III,RB,17,265.0,14
Zach Charbonnet,RB,17,113.0,44
Damien Martinez,RB,17,9.0,103
Brock Purdy,QB,17,306.0,9
Mac Jones,QB,17,2.0,64
Christian McCaffrey,RB,17,322.0,3
Isaac Guerendo,RB,17,87.0,53
Kyle Juszczyk,RB,17,27.0,79
Baker Mayfield,QB,17,310.0,7
Kyle Trask,QB,17,2.0,44
Bucky Irving,RB,17,282.0,8
Rachaad White,RB,17,130.0,41
Sean Tucker,RB,17,28.0,74
Cameron Ward,QB,17,255.0,25
Brandon Allen,QB,17,2.0,65
Tony Pollard,RB,17,210.0,25
Tyjae Spears,RB,17,158.0,37
Jayden Daniels,QB,17,367.0,1
Marcus Mariota,QB,17,3.0,41
Brian Robinson Jr.,RB,17,194.0,31
Austin Ekeler,RB,17,162.0,36
